year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,burned_areas_hectares
"2015","INDONESIA","ID","MALUKU BARAT DAYA","ID-8108","MALUKU","ID-81","4625.88811764669"
"2015","INDONESIA","ID","MALUKU TENGAH","ID-8103","MALUKU","ID-81","15150.7662353015"
"2015","INDONESIA","ID","MALUKU TENGGARA","ID-8102","MALUKU","ID-81","0"
"2015","INDONESIA","ID","MALUKU TENGGARA BARAT","ID-8101","MALUKU","ID-81","3524.50764705905"
"2015","INDONESIA","ID","MAMASA","ID-7603","SULAWESI BARAT","ID-76","449.714470588243"
"2015","INDONESIA","ID","MAMBERAMO RAYA","ID-9428","PAPUA","ID-94","0"
"2015","INDONESIA","ID","MAMBERAMO TENGAH","ID-9431","PAPUA","ID-94","0"
"2015","INDONESIA","ID","MAMUJU","ID-7604","SULAWESI BARAT","ID-76","31.41"
"2015","INDONESIA","ID","MAMUJU TENGAH","ID-7606","SULAWESI BARAT","ID-76","0"
"2015","INDONESIA","ID","MAMUJU UTARA","ID-7605","SULAWESI BARAT","ID-76","0"
"2015","INDONESIA","ID","MANADO (KOTA)","ID-7171","SULAWESI UTARA","ID-71","0"
"2015","INDONESIA","ID","MANDAILING NATAL","ID-1202","SUMATERA UTARA","ID-12","1656.24388235284"
"2015","INDONESIA","ID","MANGGARAI","ID-5313","NUSA TENGGARA TIMUR","ID-53","1896.07482352908"
"2015","INDONESIA","ID","MANGGARAI BARAT","ID-5315","NUSA TENGGARA TIMUR","ID-53","1175.80129411776"
